"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2018","136.76","136.28","136.79","131.85","29.85M","1.30%"
"Nov 27, 2018","135.00","135.75","136.61","133.71","20.75M","-1.01%"
"Nov 26, 2018","136.38","133.00","137.00","132.78","24.26M","3.53%"
"Nov 23, 2018","131.73","133.65","134.50","131.26","11.89M","-2.29%"
"Nov 21, 2018","134.82","134.40","137.19","134.13","25.47M","1.80%"
"Nov 20, 2018","132.43","127.03","134.16","126.85","41.94M","0.67%"
"Nov 19, 2018","131.55","137.61","137.75","131.21","44.36M","-5.72%"
"Nov 16, 2018","139.53","141.07","141.77","137.77","37.25M","-3.00%"
"Nov 15, 2018","143.85","142.33","144.84","140.83","30.32M","-0.26%"
"Nov 14, 2018","144.22","143.70","145.58","141.55","22.07M","1.45%"
"Nov 13, 2018","142.16","142.00","144.88","141.62","15.14M","0.43%"
"Nov 12, 2018","141.55","144.48","145.04","140.49","18.54M","-2.35%"
"Nov 09, 2018","144.96","146.75","147.76","144.07","17.33M","-1.97%"
"Nov 08, 2018","147.87","150.49","150.94","146.74","24.15M","-2.42%"
"Nov 07, 2018","151.53","151.57","153.01","149.83","21.88M","1.06%"
"Nov 06, 2018","149.94","149.31","150.97","148.00","16.67M","0.85%"
"Nov 05, 2018","148.68","150.10","150.19","147.44","15.97M","-1.11%"
"Nov 02, 2018","150.35","151.80","154.13","148.96","24.71M","-0.92%"
"Nov 01, 2018","151.75","151.52","152.75","149.35","25.64M","-0.03%"
"Oct 31, 2018","151.79","155.00","156.40","148.96","60.10M","3.81%"
"Oct 30, 2018","146.22","139.94","146.64","139.74","50.53M","2.91%"
"Oct 29, 2018","142.09","148.50","148.83","139.03","31.34M","-2.26%"
"Oct 26, 2018","145.37","145.82","149.00","143.80","31.30M","-3.70%"
"Oct 25, 2018","150.95","147.73","152.21","147.00","22.11M","3.36%"
"Oct 24, 2018","146.04","154.28","154.65","145.60","27.74M","-5.41%"
"Oct 23, 2018","154.39","151.22","154.77","150.85","19.10M","-0.25%"
"Oct 22, 2018","154.78","154.76","157.34","154.46","15.42M","0.47%"
"Oct 19, 2018","154.05","155.86","157.35","153.55","19.76M","-0.56%"
"Oct 18, 2018","154.92","158.51","158.66","153.28","21.68M","-2.82%"
"Oct 17, 2018","159.42","159.56","160.49","157.95","17.59M","0.40%"
"Oct 16, 2018","158.78","155.40","159.46","155.01","19.18M","3.43%"
"Oct 15, 2018","153.52","153.32","155.57","152.55","15.43M","-0.14%"
"Oct 12, 2018","153.74","156.73","156.89","151.30","25.29M","0.25%"
"Oct 11, 2018","153.35","150.13","154.81","149.16","35.34M","1.30%"
"Oct 10, 2018","151.38","156.82","157.69","151.31","30.61M","-4.13%"
"Oct 09, 2018","157.90","157.69","160.59","157.42","18.84M","0.41%"
"Oct 08, 2018","157.25","155.54","158.34","154.39","24.05M","-0.05%"
"Oct 05, 2018","157.33","159.21","160.90","156.20","25.74M","-0.96%"
"Oct 04, 2018","158.85","161.46","161.46","157.35","25.74M","-2.20%"
"Oct 03, 2018","162.43","160.00","163.66","159.53","23.11M","1.95%"
"Oct 02, 2018","159.33","161.58","162.28","158.67","36.03M","-1.91%"
"Oct 01, 2018","162.44","163.03","165.88","161.26","26.41M","-1.23%"
"Sep 28, 2018","164.46","168.33","168.79","162.56","34.27M","-2.59%"
"Sep 27, 2018","168.84","167.55","171.77","167.21","27.27M","1.13%"
"Sep 26, 2018","166.95","164.30","169.30","164.21","25.25M","1.24%"
"Sep 25, 2018","164.91","161.99","165.59","161.15","27.62M","-0.30%"
"Sep 24, 2018","165.41","161.03","165.70","160.88","19.22M","1.52%"
"Sep 21, 2018","162.93","166.64","167.25","162.81","45.99M","-1.86%"
"Sep 20, 2018","166.02","164.50","166.45","164.47","18.94M","1.82%"
"Sep 19, 2018","163.06","160.08","163.44","159.48","19.63M","1.72%"
"Sep 18, 2018","160.30","159.39","161.76","158.87","22.47M","-0.17%"
"Sep 17, 2018","160.58","161.92","162.06","159.77","21.01M","-1.07%"
"Sep 14, 2018","162.32","161.72","162.84","160.34","21.77M","0.59%"
"Sep 13, 2018","161.36","162.00","163.32","160.86","25.45M","-0.40%"
"Sep 12, 2018","162.00","163.25","164.49","161.80","24.08M","-2.37%"
"Sep 11, 2018","165.94","163.94","167.19","163.72","20.46M","1.07%"
"Sep 10, 2018","164.18","163.51","165.01","162.16","20.20M","0.70%"
"Sep 07, 2018","163.04","160.31","164.63","160.16","24.30M","0.31%"
"Sep 06, 2018","162.53","166.98","166.98","160.00","41.51M","-2.78%"
"Sep 05, 2018","167.18","169.49","171.12","166.67","31.23M","-2.33%"
"Sep 04, 2018","171.16","173.50","173.89","168.80","29.81M","-2.60%"
"Aug 31, 2018","175.73","177.15","177.62","174.98","18.07M","-1.08%"
"Aug 30, 2018","177.64","175.90","179.79","175.70","24.22M","0.99%"
"Aug 29, 2018","175.90","176.29","176.79","174.75","18.68M","-0.20%"
"Aug 28, 2018","176.26","178.10","178.24","175.83","15.91M","-0.68%"
"Aug 27, 2018","177.46","175.99","178.67","175.79","17.92M","1.61%"
"Aug 24, 2018","174.65","173.70","174.82","172.92","14.63M","1.01%"
"Aug 23, 2018","172.90","173.09","175.55","172.83","18.05M","-0.43%"
"Aug 22, 2018","173.64","172.21","174.24","172.13","16.89M","0.59%"
"Aug 21, 2018","172.62","172.81","174.17","171.39","19.58M","0.07%"
"Aug 20, 2018","172.50","174.04","174.57","170.91","21.52M","-0.75%"
"Aug 17, 2018","173.80","174.50","176.22","172.04","24.89M","-0.52%"
"Aug 16, 2018","174.70","180.42","180.50","174.01","31.35M","-2.69%"
"Aug 15, 2018","179.53","179.34","180.87","174.78","33.02M","-0.87%"
"Aug 14, 2018","181.11","180.71","181.99","178.62","19.10M","0.59%"
"Aug 13, 2018","180.05","180.10","182.61","178.90","17.42M","-0.12%"
"Aug 10, 2018","180.26","182.04","182.10","179.42","21.50M","-1.55%"
"Aug 09, 2018","183.09","185.85","186.57","182.48","19.73M","-1.13%"
"Aug 08, 2018","185.18","184.75","186.85","183.76","22.21M","0.75%"
"Aug 07, 2018","183.81","186.50","188.30","183.72","33.40M","-1.01%"
"Aug 06, 2018","185.69","178.97","185.79","178.38","49.72M","4.45%"
"Aug 03, 2018","177.78","177.69","178.85","176.15","24.76M","0.80%"
"Aug 02, 2018","176.37","170.68","176.79","170.27","32.40M","2.75%"
"Aug 01, 2018","171.65","173.93","175.08","170.90","34.04M","-0.54%"
"Jul 31, 2018","172.58","170.67","174.24","170.00","40.36M","0.89%"
"Jul 30, 2018","171.06","175.30","175.30","166.56","65.28M","-2.19%"
"Jul 27, 2018","174.89","179.87","179.93","173.00","60.07M","-0.78%"
"Jul 26, 2018","176.26","174.89","180.13","173.75","169.80M","-18.96%"
"Jul 25, 2018","217.50","215.72","218.62","214.27","64.59M","1.32%"
"Jul 24, 2018","214.67","215.11","216.20","212.60","28.47M","1.78%"
"Jul 23, 2018","210.91","210.58","211.62","208.80","16.73M","0.46%"
"Jul 20, 2018","209.94","208.85","211.50","208.50","16.24M","0.89%"
"Jul 19, 2018","208.09","208.77","209.99","207.76","11.35M","-0.61%"
"Jul 18, 2018","209.36","209.82","210.99","208.44","15.33M","-0.30%"
"Jul 17, 2018","209.99","204.90","210.46","204.84","15.35M","1.33%"
"Jul 16, 2018","207.23","207.50","208.72","206.84","11.08M","-0.04%"
"Jul 13, 2018","207.32","207.81","208.43","206.45","11.50M","0.19%"
"Jul 12, 2018","206.92","203.43","207.08","203.19","15.45M","2.16%"
"Jul 11, 2018","202.54","202.22","204.50","201.75","12.93M","-0.49%"
"Jul 10, 2018","203.54","204.50","204.91","202.26","13.19M","-0.59%"
"Jul 09, 2018","204.74","204.93","205.80","202.12","18.15M","0.74%"
"Jul 06, 2018","203.23","198.45","203.64","197.70","19.74M","2.41%"
"Jul 05, 2018","198.45","194.74","198.65","194.03","19.68M","2.97%"
"Jul 03, 2018","192.73","194.55","195.40","192.52","13.49M","-2.35%"
"Jul 02, 2018","197.36","193.37","197.45","192.22","13.96M","1.56%"
"Jun 29, 2018","194.32","197.32","197.60","193.96","15.81M","-0.97%"
"Jun 28, 2018","196.23","195.18","197.34","193.26","18.17M","0.20%"
"Jun 27, 2018","195.84","199.18","200.75","195.80","18.73M","-1.59%"
"Jun 26, 2018","199.00","197.60","199.10","196.23","17.90M","1.35%"
"Jun 25, 2018","196.35","200.00","200.00","193.11","25.28M","-2.67%"
"Jun 22, 2018","201.74","201.16","202.24","199.31","17.42M","0.12%"
"Jun 21, 2018","201.50","202.76","203.39","200.09","19.05M","-0.25%"
"Jun 20, 2018","202.00","199.10","203.55","198.81","28.23M","2.28%"
"Jun 19, 2018","197.49","196.24","197.96","193.79","19.99M","-0.41%"
"Jun 18, 2018","198.31","194.80","199.58","194.13","16.83M","1.26%"
"Jun 15, 2018","195.85","195.79","197.07","194.64","21.86M","-0.49%"
"Jun 14, 2018","196.81","193.10","197.28","192.91","19.12M","2.29%"
"Jun 13, 2018","192.41","192.74","194.50","191.91","15.85M","0.01%"
"Jun 12, 2018","192.40","192.17","193.28","191.56","11.56M","0.45%"
"Jun 11, 2018","191.54","188.81","192.60","188.80","12.93M","1.29%"
"Jun 08, 2018","189.10","187.53","189.48","186.43","12.68M","0.49%"
"Jun 07, 2018","188.18","190.75","190.97","186.77","21.50M","-1.65%"
"Jun 06, 2018","191.34","191.03","192.53","189.11","22.56M","-0.83%"
"Jun 05, 2018","192.94","194.30","195.00","192.62","15.54M","-0.18%"
"Jun 04, 2018","193.28","191.84","193.98","191.47","18.94M","-0.37%"
"Jun 01, 2018","193.99","193.06","194.55","192.07","17.31M","1.15%"
"May 31, 2018","191.78","187.87","192.72","187.48","30.78M","2.19%"
"May 30, 2018","187.67","186.54","188.00","185.25","13.74M","1.04%"
"May 29, 2018","185.74","184.34","186.81","183.71","16.40M","0.44%"
"May 25, 2018","184.92","186.02","186.33","184.45","10.97M","-0.54%"
"May 24, 2018","185.93","185.88","186.80","185.03","12.35M","-0.52%"
"May 23, 2018","186.90","182.50","186.91","182.18","16.63M","1.69%"
"May 22, 2018","183.80","184.93","185.42","183.43","12.73M","-0.37%"
"May 21, 2018","184.49","183.77","185.30","183.13","13.53M","0.99%"
"May 18, 2018","182.68","183.49","184.19","182.61","13.13M","-0.59%"
"May 17, 2018","183.76","182.68","184.06","182.22","14.84M","0.31%"
"May 16, 2018","183.20","183.70","184.32","182.66","16.98M","-0.61%"
"May 15, 2018","184.32","184.88","185.29","183.20","15.43M","-1.24%"
"May 14, 2018","186.64","187.71","187.86","186.20","15.65M","-0.19%"
"May 11, 2018","186.99","184.85","188.32","184.18","21.21M","0.79%"
"May 10, 2018","185.53","183.15","186.13","182.50","21.07M","1.57%"
"May 09, 2018","182.66","179.67","183.01","178.78","23.28M","2.09%"
"May 08, 2018","178.92","178.25","179.04","177.11","15.58M","0.53%"
"May 07, 2018","177.97","177.35","179.50","177.17","18.70M","0.77%"
"May 04, 2018","176.61","173.08","176.98","173.06","17.68M","1.49%"
"May 03, 2018","174.02","175.13","176.12","172.12","24.03M","-1.16%"
"May 02, 2018","176.07","174.25","178.08","174.20","30.42M","1.27%"
"May 01, 2018","173.86","172.00","174.02","170.23","26.03M","1.08%"
"Apr 30, 2018","172.00","173.79","175.72","171.71","20.75M","-0.92%"
"Apr 27, 2018","173.59","176.81","177.10","172.60","29.80M","-0.33%"
"Apr 26, 2018","174.16","173.22","176.27","170.80","77.56M","9.06%"
"Apr 25, 2018","159.69","160.14","161.06","156.19","41.08M","0.00%"
"Apr 24, 2018","159.69","165.43","166.10","158.19","35.08M","-3.71%"
"Apr 23, 2018","165.84","167.27","168.45","165.09","23.09M","-0.26%"
"Apr 20, 2018","166.28","167.79","168.43","165.81","19.12M","-1.08%"
"Apr 19, 2018","168.10","166.20","168.33","165.20","22.23M","1.05%"
"Apr 18, 2018","166.36","166.88","168.12","165.77","20.97M","-1.36%"
"Apr 17, 2018","168.66","165.83","169.00","165.66","22.74M","2.32%"
"Apr 16, 2018","164.83","165.72","165.78","163.39","18.12M","0.19%"
"Apr 13, 2018","164.52","164.58","165.70","163.77","19.99M","0.40%"
"Apr 12, 2018","163.87","166.98","167.45","163.10","38.26M","-1.47%"
"Apr 11, 2018","166.32","165.36","168.65","163.25","56.14M","0.78%"
"Apr 10, 2018","165.04","157.93","165.98","157.01","58.95M","4.50%"
"Apr 09, 2018","157.93","157.82","160.53","156.04","34.92M","0.46%"
"Apr 06, 2018","157.20","157.73","161.42","156.81","41.64M","-1.34%"
"Apr 05, 2018","159.34","161.56","161.57","156.65","41.45M","2.73%"
"Apr 04, 2018","155.10","152.03","155.56","150.51","49.89M","-0.65%"
"Apr 03, 2018","156.11","156.55","157.39","150.81","42.54M","0.46%"
"Apr 02, 2018","155.39","157.81","159.20","154.11","36.80M","-2.75%"
"Mar 29, 2018","159.79","155.15","161.42","154.14","59.43M","4.42%"
"Mar 28, 2018","153.03","151.65","155.88","150.80","60.03M","0.53%"
"Mar 27, 2018","152.22","156.31","162.85","150.75","79.12M","-4.90%"
"Mar 26, 2018","160.06","160.82","161.10","149.02","126.12M","0.42%"
"Mar 23, 2018","159.39","165.44","167.10","159.02","53.61M","-3.34%"
"Mar 22, 2018","164.89","166.13","170.27","163.72","73.74M","-2.66%"
"Mar 21, 2018","169.39","164.80","173.40","163.30","106.60M","0.74%"
"Mar 20, 2018","168.15","167.47","170.20","161.95","129.85M","-2.56%"
"Mar 19, 2018","172.56","177.01","177.17","170.06","88.14M","-6.77%"
"Mar 16, 2018","185.09","184.49","185.33","183.41","24.40M","0.67%"
"Mar 15, 2018","183.86","183.24","184.00","182.19","15.65M","-0.18%"
"Mar 14, 2018","184.19","182.60","184.25","181.85","16.82M","1.27%"
"Mar 13, 2018","181.88","185.61","185.99","181.11","18.07M","-1.56%"
"Mar 12, 2018","184.76","185.23","186.10","184.22","15.30M","-0.25%"
"Mar 09, 2018","185.23","183.91","185.51","183.21","18.53M","1.58%"
"Mar 08, 2018","182.34","183.56","184.40","181.45","17.23M","-0.75%"
"Mar 07, 2018","183.71","178.74","183.82","178.07","19.10M","2.19%"
"Mar 06, 2018","179.78","181.78","182.38","179.11","15.09M","-0.34%"
"Mar 05, 2018","180.40","176.20","181.15","175.89","16.19M","2.14%"
"Mar 02, 2018","176.62","173.29","177.11","172.99","20.03M","0.39%"
"Mar 01, 2018","175.94","179.01","180.12","174.41","23.20M","-1.33%"
"Feb 28, 2018","178.32","182.30","182.88","178.14","18.78M","-1.73%"
"Feb 27, 2018","181.46","184.45","184.70","181.46","15.85M","-1.88%"
"Feb 26, 2018","184.93","184.58","185.66","183.22","17.60M","0.89%"
"Feb 23, 2018","183.29","179.90","183.39","179.51","19.01M","2.40%"
"Feb 22, 2018","178.99","178.70","180.21","177.41","18.46M","0.61%"
"Feb 21, 2018","177.91","176.71","181.27","176.40","23.20M","1.08%"
"Feb 20, 2018","176.01","175.77","177.95","175.11","21.20M","-0.76%"
"Feb 16, 2018","177.36","178.99","179.88","176.30","21.02M","-1.44%"
"Feb 15, 2018","179.96","180.50","180.50","176.84","20.92M","0.25%"
"Feb 14, 2018","179.52","173.45","179.81","173.21","28.93M","3.68%"
"Feb 13, 2018","173.15","175.62","175.97","173.10","21.81M","-1.85%"
"Feb 12, 2018","176.41","177.06","177.54","171.84","32.09M","0.17%"
"Feb 09, 2018","176.11","174.76","176.90","167.18","39.89M","2.64%"
"Feb 08, 2018","171.58","181.01","181.84","171.48","38.48M","-4.77%"
"Feb 07, 2018","180.18","184.15","185.08","179.95","27.60M","-2.77%"
"Feb 06, 2018","185.31","178.57","185.77","177.74","37.76M","2.23%"
"Feb 05, 2018","181.26","186.93","190.61","180.61","33.13M","-4.74%"
"Feb 02, 2018","190.28","192.04","194.21","189.98","26.68M","-1.46%"
"Feb 01, 2018","193.09","188.22","195.32","187.89","54.21M","3.32%"
"Jan 31, 2018","186.89","188.37","189.83","185.22","43.28M","-0.12%"
"Jan 30, 2018","187.12","183.01","188.18","181.84","20.86M","0.61%"
"Jan 29, 2018","185.98","188.75","188.84","185.63","20.45M","-2.12%"
"Jan 26, 2018","190.00","187.75","190.00","186.81","17.76M","1.34%"
"Jan 25, 2018","187.48","187.95","188.62","186.60","17.38M","0.50%"
"Jan 24, 2018","186.55","189.89","190.66","186.52","24.33M","-1.48%"
"Jan 23, 2018","189.35","186.05","189.55","185.55","25.68M","2.15%"
"Jan 22, 2018","185.37","180.80","185.39","180.41","21.06M","2.25%"
"Jan 19, 2018","181.29","180.85","182.37","180.17","26.83M","0.83%"
"Jan 18, 2018","179.80","178.13","180.98","177.08","23.30M","1.24%"
"Jan 17, 2018","177.60","179.26","179.32","175.80","27.99M","-0.44%"
"Jan 16, 2018","178.39","181.50","181.75","178.04","36.18M","-0.55%"
"Jan 12, 2018","179.37","178.06","181.48","177.40","77.55M","-4.47%"
"Jan 11, 2018","187.77","188.40","188.40","187.38","9.59M","-0.04%"
"Jan 10, 2018","187.84","186.94","187.89","185.63","10.53M","-0.02%"
"Jan 09, 2018","187.87","188.70","188.80","187.10","12.39M","-0.22%"
"Jan 08, 2018","188.28","187.20","188.90","186.33","17.99M","0.77%"
"Jan 05, 2018","186.85","185.59","186.90","184.93","13.57M","1.37%"
"Jan 04, 2018","184.33","184.90","186.21","184.10","13.88M","-0.18%"
"Jan 03, 2018","184.67","181.88","184.78","181.33","16.89M","1.79%"
"Jan 02, 2018","181.42","177.68","181.58","177.55","18.15M","2.81%"
"Dec 29, 2017","176.46","178.00","178.85","176.46","10.26M","-0.82%"
"Dec 28, 2017","177.92","177.95","178.94","177.68","12.22M","0.17%"
"Dec 27, 2017","177.62","176.55","178.44","176.26","9.50M","0.93%"
"Dec 26, 2017","175.99","176.63","177.00","174.67","8.90M","-0.68%"
"Dec 22, 2017","177.20","177.14","177.53","176.23","8.51M","-0.14%"
"Dec 21, 2017","177.45","177.94","178.68","177.05","11.60M","-0.25%"
"Dec 20, 2017","177.89","179.81","179.81","177.36","11.86M","-0.90%"
"Dec 19, 2017","179.51","179.95","180.08","178.22","14.92M","-0.72%"
"Dec 18, 2017","180.82","181.01","181.30","179.75","17.27M","0.36%"
"Dec 15, 2017","180.18","179.02","180.49","178.36","28.46M","1.00%"
"Dec 14, 2017","178.39","178.29","180.36","177.68","13.59M","0.05%"
"Dec 13, 2017","178.30","177.30","179.16","177.25","14.62M","0.76%"
"Dec 12, 2017","176.96","178.60","179.18","176.60","16.85M","-1.16%"
"Dec 11, 2017","179.04","179.30","180.22","178.80","13.17M","0.02%"
"Dec 08, 2017","179.00","181.53","182.28","178.74","19.88M","-0.63%"
"Dec 07, 2017","180.14","175.80","180.39","175.80","20.40M","2.32%"
"Dec 06, 2017","176.06","172.50","176.77","171.90","20.26M","1.87%"
"Dec 05, 2017","172.83","170.45","175.38","169.01","20.18M","0.79%"
"Dec 04, 2017","171.47","176.29","176.57","170.79","24.46M","-2.07%"
"Dec 01, 2017","175.10","176.03","177.48","172.34","20.18M","-1.17%"
"Nov 30, 2017","177.18","176.85","178.28","175.20","25.31M","1.17%"
"Nov 29, 2017","175.13","181.89","181.97","174.00","41.93M","-4.00%"
"Nov 28, 2017","182.42","183.51","184.25","182.09","14.38M","-0.33%"
"Nov 27, 2017","183.03","182.56","183.73","181.99","12.34M","0.14%"
"Nov 24, 2017","182.78","180.40","183.15","180.29","9.43M","1.06%"
"Nov 22, 2017","180.87","181.30","181.73","180.44","10.38M","-0.54%"
"Nov 21, 2017","181.86","179.15","181.89","178.99","14.50M","1.75%"
"Nov 20, 2017","178.74","178.87","179.50","178.10","10.05M","-0.15%"
"Nov 17, 2017","179.00","179.30","179.98","178.90","13.02M","-0.33%"
"Nov 16, 2017","179.59","178.76","179.83","178.50","15.61M","0.92%"
"Nov 15, 2017","177.95","176.66","178.57","176.40","10.25M","-0.07%"
"Nov 14, 2017","178.07","178.13","178.97","177.18","9.59M","-0.39%"
"Nov 13, 2017","178.77","177.50","179.04","177.30","9.52M","0.17%"
"Nov 10, 2017","178.46","178.35","179.10","177.96","11.07M","-0.47%"
"Nov 09, 2017","179.30","178.31","179.40","177.09","12.61M","-0.14%"
"Nov 08, 2017","179.56","179.79","180.35","179.11","10.49M","-0.38%"
"Nov 07, 2017","180.25","180.50","180.75","178.96","12.93M","0.04%"
"Nov 06, 2017","180.17","178.56","180.45","178.31","13.31M","0.70%"
"Nov 03, 2017","178.92","179.29","179.86","176.71","17.82M","0.00%"
"Nov 02, 2017","178.92","180.63","181.94","177.34","35.53M","-2.05%"
"Nov 01, 2017","182.66","182.36","182.90","180.57","40.92M","1.44%"
"Oct 31, 2017","180.06","180.57","180.80","178.94","20.17M","0.11%"
"Oct 30, 2017","179.87","179.26","180.69","177.61","24.35M","1.12%"
"Oct 27, 2017","177.88","174.15","178.21","173.90","30.29M","4.25%"
"Oct 26, 2017","170.63","171.38","172.28","170.39","11.83M","0.02%"
"Oct 25, 2017","170.60","171.90","172.25","168.89","15.87M","-0.70%"
"Oct 24, 2017","171.80","172.30","173.24","171.50","12.27M","0.31%"
"Oct 23, 2017","171.27","175.20","175.34","171.25","13.85M","-2.12%"
"Oct 20, 2017","174.98","175.50","175.88","174.63","12.60M","0.24%"
"Oct 19, 2017","174.56","174.93","176.03","172.63","14.05M","-0.84%"
"Oct 18, 2017","176.03","176.65","176.74","175.75","12.75M","-0.05%"
"Oct 17, 2017","176.11","174.71","176.13","174.36","15.99M","0.91%"
"Oct 16, 2017","174.52","174.49","175.00","174.06","11.50M","0.45%"
"Oct 13, 2017","173.74","173.45","174.65","173.20","13.66M","0.69%"
"Oct 12, 2017","172.55","172.61","173.85","172.29","10.35M","-0.11%"
"Oct 11, 2017","172.74","171.95","172.78","171.40","11.28M","0.67%"
"Oct 10, 2017","171.59","173.00","173.20","170.80","11.34M","-0.53%"
"Oct 09, 2017","172.50","172.70","174.88","172.00","14.57M","0.16%"
"Oct 06, 2017","172.23","170.25","172.37","169.75","13.12M","0.58%"
"Oct 05, 2017","171.24","169.18","171.31","168.60","14.58M","1.67%"
"Oct 04, 2017","168.42","169.83","170.67","168.29","12.13M","-0.91%"
"Oct 03, 2017","169.96","169.30","170.73","169.20","8.19M","0.29%"
"Oct 02, 2017","169.47","171.39","171.87","168.75","13.39M","-0.82%"
"Sep 29, 2017","170.87","168.83","171.66","168.81","15.34M","1.27%"
"Sep 28, 2017","168.73","167.94","169.07","167.16","12.18M","0.63%"
"Sep 27, 2017","167.68","165.90","168.34","165.57","19.24M","2.11%"
"Sep 26, 2017","164.21","164.50","165.50","162.78","23.36M","0.82%"
"Sep 25, 2017","162.87","169.24","169.30","161.56","41.25M","-4.50%"
"Sep 22, 2017","170.54","170.21","171.73","169.22","12.10M","-0.33%"
"Sep 21, 2017","171.11","171.69","172.27","170.01","11.16M","-0.62%"
"Sep 20, 2017","172.17","172.50","173.05","170.70","12.26M","-0.20%"
"Sep 19, 2017","172.52","170.62","172.56","170.36","13.17M","1.48%"
"Sep 18, 2017","170.01","171.99","172.07","169.34","12.95M","-0.95%"
"Sep 15, 2017","171.64","170.88","172.34","170.26","15.66M","0.40%"
"Sep 14, 2017","170.96","172.26","172.28","170.50","15.62M","-1.21%"
"Sep 13, 2017","173.05","173.01","173.17","172.06","9.12M","0.05%"
"Sep 12, 2017","172.96","173.76","174.00","171.75","11.19M","-0.32%"
"Sep 11, 2017","173.51","172.40","173.89","172.20","12.37M","1.50%"
"Sep 08, 2017","170.95","173.09","173.49","170.80","11.00M","-1.30%"
"Sep 07, 2017","173.21","171.94","173.31","170.27","18.05M","0.65%"
"Sep 06, 2017","172.09","170.91","172.48","169.57","13.91M","0.80%"
"Sep 05, 2017","170.72","171.27","172.39","169.55","13.22M","-0.76%"
"Sep 01, 2017","172.02","172.40","172.91","171.31","11.68M","0.03%"
"Aug 31, 2017","171.97","170.40","172.15","170.06","17.23M","1.21%"
"Aug 30, 2017","169.92","168.17","170.18","167.63","11.14M","1.11%"
"Aug 29, 2017","168.05","165.25","168.43","165.00","11.12M","0.48%"
"Aug 28, 2017","167.24","166.91","167.70","166.33","8.55M","0.55%"
"Aug 25, 2017","166.32","167.86","168.38","166.18","12.61M","-0.85%"
"Aug 24, 2017","167.74","168.88","169.29","166.41","14.03M","-0.57%"
"Aug 23, 2017","168.71","168.84","169.36","168.20","9.86M","-0.55%"
"Aug 22, 2017","169.64","168.28","169.87","167.15","11.39M","1.11%"
"Aug 21, 2017","167.78","167.16","168.00","165.82","11.91M","0.22%"
"Aug 18, 2017","167.41","166.84","168.67","166.21","15.09M","0.30%"
"Aug 17, 2017","166.91","169.34","169.86","166.85","17.22M","-1.82%"
"Aug 16, 2017","170.00","171.25","171.38","169.24","15.78M","-0.58%"
"Aug 15, 2017","171.00","171.49","171.50","170.01","8.73M","0.15%"
"Aug 14, 2017","170.75","170.09","171.08","169.29","12.95M","1.59%"
"Aug 11, 2017","168.08","167.95","168.82","166.85","13.79M","0.41%"
"Aug 10, 2017","167.40","170.06","170.59","166.85","20.83M","-2.21%"
"Aug 09, 2017","171.18","169.98","171.45","169.56","10.81M","-0.03%"
"Aug 08, 2017","171.23","171.88","173.05","170.62","14.39M","-0.44%"
"Aug 07, 2017","171.98","169.95","172.06","169.66","12.79M","1.39%"
"Aug 04, 2017","169.62","168.97","170.06","168.69","10.78M","0.61%"
"Aug 03, 2017","168.59","169.30","169.70","168.25","10.79M","-0.42%"
"Aug 02, 2017","169.30","170.30","170.55","166.91","17.43M","-0.33%"
"Aug 01, 2017","169.86","169.82","170.47","169.05","14.38M","0.36%"
"Jul 31, 2017","169.25","172.00","172.72","168.55","25.48M","-1.86%"
"Jul 28, 2017","172.45","169.07","173.43","169.05","24.56M","1.18%"
"Jul 27, 2017","170.44","174.70","175.49","167.50","68.91M","2.92%"
"Jul 26, 2017","165.61","166.01","166.01","164.10","35.24M","0.20%"
"Jul 25, 2017","165.28","165.01","165.54","163.86","15.38M","-0.43%"
"Jul 24, 2017","166.00","164.64","166.17","164.31","17.37M","0.95%"
"Jul 21, 2017","164.43","164.16","165.05","163.75","14.74M","-0.06%"
"Jul 20, 2017","164.53","164.80","165.00","162.81","18.52M","0.24%"
"Jul 19, 2017","164.14","163.59","165.70","163.17","26.27M","0.79%"
"Jul 18, 2017","162.86","159.66","163.73","159.42","23.72M","1.96%"
"Jul 17, 2017","159.73","160.25","160.78","158.81","12.86M","-0.15%"
"Jul 14, 2017","159.97","160.13","160.32","159.33","16.37M","0.45%"
"Jul 13, 2017","159.26","158.74","159.78","158.42","13.93M","0.23%"
"Jul 12, 2017","158.90","156.49","159.16","156.20","22.74M","2.34%"
"Jul 11, 2017","155.27","153.37","155.42","152.91","13.67M","1.15%"
"Jul 10, 2017","153.50","151.69","153.98","151.51","13.38M","1.36%"
"Jul 07, 2017","151.44","149.25","151.99","149.19","13.62M","1.76%"
"Jul 06, 2017","148.82","149.03","150.04","148.00","14.95M","-1.01%"
"Jul 05, 2017","150.34","149.00","150.85","148.13","14.33M","1.29%"
"Jul 03, 2017","148.43","151.72","152.15","147.80","13.86M","-1.69%"
"Jun 30, 2017","150.98","151.90","151.92","150.06","17.67M","-0.04%"
"Jun 29, 2017","151.04","152.28","152.50","148.92","23.97M","-1.44%"
"Jun 28, 2017","153.24","150.92","153.47","149.86","16.72M","1.77%"
"Jun 27, 2017","150.58","152.84","153.31","150.39","19.36M","-1.96%"
"Jun 26, 2017","153.59","156.25","156.50","153.20","18.05M","-0.95%"
"Jun 23, 2017","155.07","152.72","155.20","152.65","18.03M","1.09%"
"Jun 22, 2017","153.40","153.01","154.55","152.91","13.01M","-0.33%"
"Jun 21, 2017","153.91","152.36","154.08","151.88","15.04M","1.09%"
